"Month-avg",2017,2018,2019,2020
1,4700.9056922043,5197.2428360215,5075.30969758065,4765.54570564516
2,4775.92209821428,5020.82674107144,4840.19263392857,4763.38690373563
3,4887.6154233871,4683.28031586021,4858.36038306452,4529.69563844085
4,4488.68942361111,4714.41515277777,4526.16191666667,4485.448
5,5019.32340725807,5081.98047043011,4966.64988575269,4915.83035618278
6,5476.54047916668,5515.08738194445,5401.8149375,5390.00864583334
7,5407.50967069893,5426.01761424731,5373.51090053764,5514.65257392474
8,5398.05343413979,5298.67155241935,5327.35065860215,5144.88182123655
9,4979.14938194445,4846.32686111112,4845.30933333333,4521.12127777778
